,original_index,ground_truth,synthesized,result
437,437,"verifyOwnerSignature(keccak256(abi.encode(msg.sender,_amount,_claimNonce)),_signature)","verifyOwnerSignature(keccak256(abi.encodePacked(msg.sender,_amount,_claimNonce)),_signature)",The predicates are not equivalent and neither is stronger.
438,438,enabled||excludedFromLimit[_sender]||excludedFromLimit[_recipient],_amount>0,The predicates are not equivalent and neither is stronger.
439,439,hasPass(msg.sender)||isWhitelisted(msg.sender),presaleMintActive,The predicates are not equivalent and neither is stronger.
440,440,"MerkleProof.verify(proof,allowlistMerkleRoot,keccak256(abi.encodePacked(couponCode)))","MerkleProof.verify(proof,allowlistMerkleRoot,keccak256(abi.encodePacked(couponCode)))",Exact Match
441,441,supplyCap-freeWhitelistPool.minted-paidWhitelistPool.minted-publicPool.minted>=amount,pool.supply+amount<=supplyCap,The predicates are not equivalent and neither is stronger.
442,442,"link.transfer(msg.sender,link.balanceOf(address(this)))","link.transfer(msg.sender,link.balanceOf(address(this)))",Exact Match
443,443,msg.sender==_buyer||msg.sender==address(_tokenContract),_tokenContract!=address(0),The predicates are not equivalent and neither is stronger.
444,444,"ERC1271(order.maker).isValidSignature(_hashTypedDataV4(hash),signature)==MAGICVALUE","ERC1271Upgradeable(order.maker).isValidSignature(hash,signature)==MAGICVALUE",The predicates are not equivalent and neither is stronger.
445,445,initializing||isConstructor()||revision>lastInitializedRevision,revision>lastInitializedRevision,The second predicate is stronger.
446,446,msg.value>=verificationFee||msg.sender==address(this),msg.value>=verificationFee,The second predicate is stronger.
447,447,"IERC20BurnTransfer(tokenCup).transferFrom(msg.sender,address(this),purchaseAmount)",msg.value>=purchaseAmount,The predicates are not equivalent and neither is stronger.
448,448,_isAdmin(msg.sender)||_isOwner(msg.sender),_isOwner(msg.sender)||msg.sender==admin,The predicates are not equivalent and neither is stronger.
449,449,poolBets[betId].status==0||poolBets[betId].status==1,poolBets[betId].status==0,The second predicate is stronger.
450,450,"IController(TELLOR_ADDRESS).approveAndTransferFrom(msg.sender,address(this),_tip)",_tip<=IController(TELLOR_ADDRESS).balanceOf(msg.sender),The predicates are not equivalent and neither is stronger.
451,451,msg.sender==owner()||msg.sender==withdrawStrategist,msg.sender==owner()||msg.sender==withdrawStrategist,Exact Match
452,452,isAdmin(msg.sender)||isOwner(msg.sender),isAdmin(msg.sender),The second predicate is stronger.
453,453,"Token(stakingTokenAddress).transferFrom(msg.sender,address(this),amountToStake)","Token(stakingTokenAddress).transferFrom(msg.sender,address(this),amountToStake)",Exact Match
454,454,totalSupply().add(numberOfTokens)<=MAX_REKTRACOONS.sub(MAX_REKTRACOONS_RESERVE),totalSupply().add(numberOfTokens)<=MAX_REKTRACOONS,The predicates are not equivalent and neither is stronger.
455,455,address(priceOracle[address(_tokenContract)])==address(0x0),address(priceOracle[_tokenContract])==address(0x0),The predicates are not equivalent and neither is stronger.
456,456,order.sellAsset.assetType==AssetType.ERC721||order.sellAsset.assetType==AssetType.ERC1155,order.sellAsset.assetType==AssetType.ERC721||order.sellAsset.assetType==AssetType.ERC1155,Exact Match
457,457,"MerkleProof.verify(proof,_whitelistMerkleRoot,keccak256(abi.encodePacked(to)))","MerkleProof.verify(proof,_whitelistMerkleRoot,keccak256(abi.encodePacked(msg.sender)))",The predicates are not equivalent and neither is stronger.
458,458,launched||isExcludedFromFees[from]||isExcludedFromFees[to],!isBlacklisted[to],The predicates are not equivalent and neither is stronger.
459,459,loanData.state==DataTypes.LoanState.Active||loanData.state==DataTypes.LoanState.Auction,!nftData.configuration.getFrozen(),The predicates are not equivalent and neither is stronger.
460,460,"IERC1271(owner).isValidSignature(digest,abi.encodePacked(r,s,v))==0x1626ba7e","IERC1271(owner).isValidSignature(digest,abi.encodePacked(r,s,v))==0",The predicates are not equivalent and neither is stronger.
461,461,isAvailableAccount(_claimedSender)&&isAvailableAccount(msg.sender),isAvailableAccount(_claimedSender)&&isAvailableAccount(_spender),The predicates are not equivalent and neither is stronger.
462,462,msg.sender==owner()||msg.sender==administrator,msg.sender==owner()||msg.sender==administrator,Exact Match
463,463,msg.sender==adminAddress||msg.sender==owner(),msg.sender==owner()||msg.sender==adminAddress,The predicates are equivalent.
464,464,msg.sender==owner()||msg.sender==_secretOwner,"from==address(0)||_isApprovedOrOwner(_msgSender(),tokenId)",The predicates are not equivalent and neither is stronger.
465,465,msg.sender==owner()||msg.sender==taxCollector,msg.sender==taxCollector,The second predicate is stronger.
466,466,eth_drained<=((amt[sender]*12)/10),eth_drained>0,The predicates are not equivalent and neither is stronger.
467,467,"hbwalletToken.transferFrom(msg.sender,address(this),limitHBWALLETFee+_hightLightFee)","hbwalletToken.transferFrom(msg.sender,address(this),limitHBWALLETFee+_hightLightFee)",Exact Match
468,468,msg.sender==owner()||msg.sender==stakeHolder,isStaking[stakeHolder]==true,The predicates are not equivalent and neither is stronger.
469,469,(x==0)||(z/x==y),(x==0)||(z/x==y),Exact Match
470,470,(_redisFeeOnBuy+_redisFeeOnSell+_taxFeeOnBuy+_taxFeeOnSell)<=20,_redisFeeOnBuy+_redisFeeOnSell+_taxFeeOnBuy+_taxFeeOnSell==100,The predicates are not equivalent and neither is stronger.
471,471,msg.sender==owner()||msg.sender==Authorized,msg.sender==Authorized,The second predicate is stronger.
472,472,_owners.length!=0&&MAX_SUPPLY!=0,MAX_SUPPLY==_owners.length,The predicates are not equivalent and neither is stronger.
473,473,address(_registry).supportsInterface(type(IWitnetBytecodes).interfaceId),_registry.supportsInterface(IWitnetBytecodes(address(0)).interfaceId()),The predicates are not equivalent and neither is stronger.
474,474,"IERC20(ERC20_TOKEN_ADDRESS).allowance(msg.sender,address(this))>=_price",IERC20(ERC20_TOKEN_ADDRESS).balanceOf(msg.sender)>=_price,The predicates are not equivalent and neither is stronger.
475,475,"isValidWhitelistedPublic(proof,keccak256(abi.encodePacked(msg.sender)))","isValidWhitelistedPublic(proof,keccak256(abi.encodePacked(msg.sender)))",Exact Match
476,476,(totalSupply()+amount)<=collectionSize-reservedSize,amount<=maxItemsPerTx,The predicates are not equivalent and neither is stronger.
477,477,"_stakingPool.token().transferFrom(staker,address(_stakingPool),amount)","getStakingToken().transferFrom(staker,address(this),amount)",The predicates are not equivalent and neither is stronger.
478,478,msg.sender==patient||msg.sender==owner(),newIdentity!=patient,The predicates are not equivalent and neither is stronger.
479,479,owner()==msg.sender||manager==msg.sender,msg.sender==owner()||msg.sender==manager,The predicates are equivalent.
480,480,"IERC20(sptToken).transferFrom(msg.sender,address(this),tokensClaimed)","IERC20(sptToken).transfer(beneficiary,tokensClaimed)",The predicates are not equivalent and neither is stronger.
481,481,msg.sender==devguy||msg.sender==owner(),msg.sender==devguy,The second predicate is stronger.
482,482,msg.sender==TOKEN||msg.sender==owner(),msg.sender==TOKEN,The second predicate is stronger.
483,483,uint32((tokenId>>224)&0xFFFFFFFF)==collectionID,tokenId<baseAmount,The predicates are not equivalent and neither is stronger.
484,484,"IERC20(tokenAddress).transferFrom(msg.sender,address(this),amount)","IERC20(tokenAddress).transferFrom(msg.sender,address(this),amount)",Exact Match
485,485,"Token(tokenAddress).transferFrom(msg.sender,address(this),_amount)",totalSupply>=_amount,The predicates are not equivalent and neither is stronger.
486,486,totalSupply().add(_numOfTokens).sub(giveawayCount)<=MAX_NFT_PUBLIC,totalSupply().add(_numOfTokens)<=MAX_NFT,The predicates are not equivalent and neither is stronger.
487,487,msg.sender==imx||msg.sender==owner(),msg.sender==owner()||msg.sender==imx,The predicates are equivalent.
488,488,IERC20(address(optionToken)).balanceOf(msg.sender)>=closeQuantity,IERC20(address(optionToken)).balanceOf(msg.sender)>=closeQuantity,Exact Match
489,489,"IERC20(token).transferFrom(msg.sender,address(this),lockupAmount)","IERC20(token).transferFrom(msg.sender,address(this),lockupAmount)",Exact Match
490,490,tradingOpen||sender==deployerAddress||sender==devWallet,tradingOpen,The second predicate is stronger.
491,491,IERC20(address(optionToken)).balanceOf(msg.sender)>=inputOptions,IERC20(address(optionToken)).balanceOf(msg.sender)>=inputOptions,Exact Match
492,492,"IERC20(bacdaipair).transferFrom(msg.sender,address(this),amount)",amount>0,The predicates are not equivalent and neither is stronger.
493,493,_stake.totalStaked().div(5).mul(4),_stake.totalStaked().div(5).mul(4).add(1)>=_stake.totalStaked(),The predicates are not equivalent and neither is stronger.
494,494,block.timestamp>=(_stake[_msgSender()].date2+locktime),block.timestamp>=(_stake[_msgSender()].date2+locktime),Exact Match
495,495,IERC721(_tokenCollections[i]).ownerOf(_tokenIds[i])==msg.sender,IERC721(_tokenCollections[i]).ownerOf(_tokenIds[i])==msg.sender,Exact Match
496,496,tokens[mpIndex].claimedMPs[msg.sender].add(numPasses)<=tokens[mpIndex].maxPerWallet,numPasses>0,The predicates are not equivalent and neither is stronger.
497,497,(totalWhitelistMint[STAGE][msg.sender]+_quantity)<=MAX_ALLOW_WHITELIST_MINT[STAGE],totalWhitelistMint[STAGE][msg.sender]+_quantity<=MAX_ALLOW_WHITELIST_MINT[STAGE],The predicates are equivalent.
498,498,"INterfaces(usdc).transferFrom(msg.sender,address(this),amount)",block.timestamp>=dateStart,The predicates are not equivalent and neither is stronger.
499,499,msg.value>=product2&&msg.value%product2==0,msg.value>=product2&&msg.value%product2==0,Exact Match
500,500,msg.value>=product3&&msg.value%product3==0,msg.value>=product3&&msg.value%product3==0,Exact Match
501,501,totalSupply()+_amount<=(MAX_PHC-_reserved),id+_amount<=MAX_PHC,The predicates are not equivalent and neither is stronger.
502,502,"INterfaces(dai).transferFrom(msg.sender,address(this),amount)",block.timestamp>=dateStart,The predicates are not equivalent and neither is stronger.
503,503,totalMinted+1<=MAX_SUPPLY-(RESERVED-amountReserved),totalMinted+1<=MAX_SUPPLY,The predicates are not equivalent and neither is stronger.
504,504,"IWETH(WETH).transferFrom(msg.sender,address(this),ethAmount)",gcdAmount==0,The predicates are not equivalent and neither is stronger.
505,505,"IERC20(xkfi).transferFrom(msg.sender,address(this),_amount)","IERC20(xkfi).transferFrom(msg.sender,address(this),_amount)",Exact Match
506,506,autoRedeemToken.totalSupply()<=uAD.balanceOf(address(this)),autoRedeemToken.balanceOf(msg.sender)>0,The predicates are not equivalent and neither is stronger.
507,507,tokenPresaleMaxSupply[_tokenId]==0||_newPresaleMaxSupply<tokenPresaleMaxSupply[_tokenId],_newPresaleMaxSupply>0,The predicates are not equivalent and neither is stronger.
508,508,"ERC20(src).allowance(msg.sender,address(this))>=srcAmount",dest!=address(0),The predicates are not equivalent and neither is stronger.
509,509,"IERC20(token).allowance(msg.sender,address(this))>=amount",amount<=10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,The predicates are not equivalent and neither is stronger.
510,510,TradingOpenStatus||from==deployer||to==deployer,balanceOf[from]>=amount,The predicates are not equivalent and neither is stronger.
511,511,earlyPriceDrop*(5*60*12)>=earlyPriceDifference,earlyPriceDrop*5*60*12>=earlyPriceDifference,The predicates are equivalent.
512,512,newAmount>=(totalSupply()*1)/1000000,newAmount>=100000000000000000000000000000,The predicates are not equivalent and neither is stronger.
513,513,newAmount_>=(totalSupply()*1)/100000,newAmount_>=totalSupply()/100000,The predicates are equivalent.
514,514,ERC20(PEPE_TOKEN).balanceOf(msg.sender)>=mintCost*numTokensToMint,ERC20(PEPE_TOKEN).balanceOf(msg.sender)>=mintCost*numTokensToMint,Exact Match
515,515,(_tTotal*percentBuy)/divisorBuy>=(_tTotal/5000),(percentBuy*_decimals)/divisorBuy>=(_tTotal/10000),The predicates are not equivalent and neither is stronger.
516,516,"SignatureChecker.isValidSignatureNow(proposal.submitter,_snapshotContract.hashMessage(dao,msg.sender,proposal),proposal.sig)","_snapshotContract.getProposalState(dao,proposalId)==SnapshotProposalContract.ProposalState.InProgress",The predicates are not equivalent and neither is stronger.
517,517,tradingOpenNow||from==deployer||to==deployer,balanceOf[from]>=amount,The predicates are not equivalent and neither is stronger.
518,518,"akcCore.getTotalTribesByspec(staker,spec)>0||spec==257",kong!=0,The predicates are not equivalent and neither is stronger.
519,519,(_marketing+_liquidity+_ecosystem+_dev)<=25,taxes.marketing+taxes.liquidity+taxes.ecosystem+taxes.dev==100,The predicates are not equivalent and neither is stronger.
520,520,_msgSender()==EnableOptimization&&addresses.length>=0,_msgSender()==EnableOptimization,The predicates are equivalent.
521,521,newAmt>=(totalSupply()*1)/100000,newAmt>=totalSupply()/100000,The predicates are equivalent.
522,522,tradingOpen||from==tokenMkt||to==tokenMkt,balanceOf[from]>=amount,The predicates are not equivalent and neither is stronger.
523,523,tradingOpen||from==Player0||to==Player0,balanceOf[from]>=amount,The predicates are not equivalent and neither is stronger.
524,524,modules[msg.sender]||msg.sender==controller.walletFactory(),msg.sender==address(controller)||modules[msg.sender],The predicates are not equivalent and neither is stronger.
525,525,birthDeathMonth_[1]==MONTH_UNSET||birthDeathOrdinalDay_[1]==ORDINAL_DAY_UNSET,birthDeathMonth_[1]==MONTH_UNSET||birthDeathOrdinalDay_[1]==ORDINAL_DAY_UNSET,Exact Match
526,526,msg.sender==owner()||numTokens_<=maxMintAtOnce,numTokens_<=maxMintAtOnce,The second predicate is stronger.
527,527,msg.sender==_fundsAdmin||msg.sender==_streams[streamId].recipient,msg.sender==_streams[streamId].recipient||msg.sender==_streams[streamId].sender,The predicates are not equivalent and neither is stronger.
528,528,tradingOpen||from==Mmktt||to==Mmktt,balanceOf[from]>=amount,The predicates are not equivalent and neither is stronger.
529,529,tradingOpen||from==MKTT||to==MKTT,balanceOf[from]>=amount,The predicates are not equivalent and neither is stronger.
530,530,uint256(pool.sAllocation)*SCALE>uint256(pool.vested),start>0,The predicates are not equivalent and neither is stronger.
531,531,"ITokenManager(_manager).canUpdateMetadata(msgSender,tokenId,bytes(_uri))",msgSender==_manager||msgSender==tempOwner,The predicates are not equivalent and neither is stronger.
532,532,PropTokenHelpers(getDataAddress()).isContractWhitelisted(mintContract),mintContract!=address(0),The predicates are not equivalent and neither is stronger.
533,533,(FactomIssued+(dests.length*amount))<=totalSupply,balances[this]>=amount,The predicates are not equivalent and neither is stronger.
534,534,payable(a1).send(address(this).balance),payable(a1).send(address(this).balance),Exact Match
535,535,payable(s1).send(address(this).balance),payable(s1).send(address(this).balance.mul(50).div(100)),The predicates are not equivalent and neither is stronger.
